Year,temperature_2m_mean,precipitation_sum,rain_sum,snowfall_sum,relative_humidity_2m_mean,soil_temperature_mean,Infection Prevalence,Mortality Rate
2001,24.49173553719008,1.6382920110192838,1.6382920110192838,0.0,59.24242424242424,26.90027548209366,0.0203632765229603,0.349770616372832
2002,25.39835616438356,1.1008219178082193,1.1008219178082193,0.0,56.057534246575344,27.978630136986304,0.0097857109582,0.128661327917731
2003,23.87013698630137,2.4876712328767123,2.4876712328767123,0.0,62.778082191780825,26.077260273972605,0.0111478753207788,0.168629514949326
2004,25.00273224043716,1.2989071038251363,1.2989071038251363,0.0,58.65573770491803,27.036065573770493,0.0180895420899653,0.2898957876929759
2005,24.45698630136986,1.9704109589041097,1.9704109589041097,0.0,57.038356164383565,26.53150684931507,0.0187793660442609,0.5053949721372389
2006,25.451780821917808,1.5041095890410958,1.5041095890410958,0.0,55.61643835616438,27.700821917808216,0.0101091473561584,0.1934160297640469
2007,24.93643835616438,1.778904109589041,1.778904109589041,0.0,58.36164383561644,27.16986301369863,0.0031595205719118,0.0483587355619641
2008,24.490163934426228,2.1603825136612023,2.1603825136612023,0.0,60.12021857923497,26.64972677595628,0.003808587488068,0.0530875605864082
2009,25.564657534246574,1.16986301369863,1.16986301369863,0.0,53.6,27.99671232876712,0.0033183347068162,0.0592140318992641
2010,25.396438356164385,2.4273972602739726,2.4273972602739726,0.0,60.38630136986301,27.69232876712329,0.0019447365990341,0.123843714477696
2011,24.32109589041096,1.8005479452054796,1.8005479452054796,0.0,63.0027397260274,26.34054794520548,0.0067862959036941,0.170021126453686
2012,24.262841530054647,1.5661202185792351,1.5661202185792351,0.0,57.67213114754098,26.47622950819672,0.0073215218885423,0.228810876559895
2013,23.88602739726027,2.0632876712328767,2.0632876712328767,0.0,65.32328767123288,25.698630136986303,0.0002565516224925,0.0079796902924481
2014,24.487671232876718,1.3523287671232878,1.3523287671232878,0.0,59.02739726027397,26.6586301369863,6.03626966758e-05,0.0014413682034893
2015,24.31424657534247,2.2326027397260275,2.2326027397260275,0.0,63.64931506849315,26.36027397260274,6.29055990731e-05,0.0021511517274141
2016,25.12131147540984,2.1704918032786886,2.1704918032786886,0.0,61.88251366120219,27.33688524590164,0.0010581870115524,0.0374971324141658
2017,24.816712328767125,1.6002739726027395,1.6002739726027395,0.0,60.28767123287671,26.275342465753425,0.0159433941045699,0.312551445768423
2018,24.513698630136982,1.9350684931506847,1.9350684931506847,0.0,62.26301369863014,25.534794520547948,0.0302471512803425,1.16370571650013
2019,24.30383561643836,1.7131506849315068,1.7131506849315068,0.0,63.16986301369863,25.38219178082192,0.0125533805729096,0.2442201932863489
2020,24.013387978142077,1.5991803278688523,1.5991803278688523,0.0,63.46994535519126,25.014207650273224,0.0052171200196979,0.128211473211032
2021,24.46328767123288,2.236164383561644,2.236164383561644,0.0,62.95068493150685,25.60164383561644,0.0016863999011341,0.189626373006812
2022,24.78,2.003835616438356,2.003835616438356,0.0,61.342465753424655,25.68520547945205,0.0013020296093706,0.141629447746483
2023,24.0972602739726,2.3575342465753426,2.3575342465753426,0.0,64.01369863013699,25.261917808219177,0.0014865680979488,0.164386373884567
2024,10.2,0.0058823529411764,0.0058823529411764,0.0,85.05882352941177,15.53529411764706,0.0015030763720467,0.161618405240097
