location_id,latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
0,0.52724075,29.530148,1159.0,0,GMT,GMT
1,28.576448,77.18678,224.0,0,GMT,GMT
2,13.813708,9.016543,458.0,0,GMT,GMT
3,-1.3005272,36.824646,1731.0,0,GMT,GMT
4,47.97891,129.01994,281.0,0,GMT,GMT

location_id,time,temperature_2m_mean (°C),precipitation_sum (mm),rain_sum (mm),snowfall_sum (cm),relative_humidity_2m_mean (%),surface_pressure_mean (hPa),soil_moisture_0_to_100cm_mean (m³/m³),soil_temperature_0_to_100cm_mean (°C)
0,2001-01-03,20.6,1.60,1.60,0.00,77,885.9,0.469,20.1
0,2001-01-04,19.8,8.10,8.10,0.00,83,885.9,0.465,20.1
0,2001-01-05,19.9,0.60,0.60,0.00,80,886.2,0.463,20.1
0,2001-01-06,19.0,1.90,1.90,0.00,81,886.5,0.460,20.0
0,2001-01-07,19.5,0.00,0.00,0.00,72,886.4,0.455,20.0
0,2001-01-08,20.0,0.00,0.00,0.00,68,886.0,0.449,20.0
0,2001-01-09,20.2,0.00,0.00,0.00,67,885.5,0.443,20.1
0,2001-01-10,20.3,0.00,0.00,0.00,67,884.6,0.438,20.1
0,2001-01-11,21.0,0.00,0.00,0.00,61,884.4,0.433,20.2
0,2001-01-12,20.1,0.00,0.00,0.00,67,885.3,0.429,20.2
0,2001-01-13,20.6,0.00,0.00,0.00,65,885.6,0.425,20.2
0,2001-01-14,20.2,0.00,0.00,0.00,68,885.5,0.421,20.3
0,2001-01-15,20.9,0.00,0.00,0.00,67,884.8,0.417,20.3
0,2001-01-16,21.5,0.00,0.00,0.00,66,885.3,0.413,20.5
0,2001-01-17,20.8,3.10,3.10,0.00,73,885.0,0.410,20.6
0,2001-01-18,20.2,15.90,15.90,0.00,81,885.8,0.412,20.5
0,2001-01-19,20.0,1.20,1.20,0.00,82,886.1,0.418,20.4
0,2001-01-20,19.9,6.20,6.20,0.00,80,886.4,0.418,20.4
0,2001-01-21,20.4,0.30,0.30,0.00,75,886.4,0.417,20.4
0,2001-01-22,20.0,0.20,0.20,0.00,75,885.8,0.414,20.3
0,2001-01-23,19.3,1.80,1.80,0.00,82,886.6,0.411,20.2
0,2001-01-24,18.9,1.90,1.90,0.00,84,887.9,0.410,20.1
0,2001-01-25,18.6,0.00,0.00,0.00,78,887.3,0.408,19.9
