"ISO3","National Unit","Name","Admin Level","Metric","Units","Year","Value"
"IND","India","Delhi","admin1","Incidence Rate","Cases per Thousand",2000,0.9658116358779519
"IND","India","Delhi","admin1","Incidence Rate","Cases per Thousand",2001,0.50814605175533
"IND","India","Delhi","admin1","Incidence Rate","Cases per Thousand",2002,0.249683487360054
"IND","India","Delhi","admin1","Incidence Rate","Cases per Thousand",2003,0.28265760982411203
"IND","India","Delhi","admin1","Incidence Rate","Cases per Thousand",2004,0.448151247808742
"IND","India","Delhi","admin1","Incidence Rate","Cases per Thousand",2005,0.4625484092491
"IND","India","Delhi","admin1","Incidence Rate","Cases per Thousand",2006,0.257794962878207
"IND","India","Delhi","admin1","Incidence Rate","Cases per Thousand",2007,0.08207283337469459
"IND","India","Delhi","admin1","Incidence Rate","Cases per Thousand",2008,0.099117178107761
"IND","India","Delhi","admin1","Incidence Rate","Cases per Thousand",2009,0.0864765307107456
"IND","India","Delhi","admin1","Incidence Rate","Cases per Thousand",2010,0.0503308125454481
"IND","India","Delhi","admin1","Incidence Rate","Cases per Thousand",2011,0.176183619632943
"IND","India","Delhi","admin1","Incidence Rate","Cases per Thousand",2012,0.189883794687067
"IND","India","Delhi","admin1","Incidence Rate","Cases per Thousand",2013,0.00670546846698578
"IND","India","Delhi","admin1","Incidence Rate","Cases per Thousand",2014,0.00157855464889258
"IND","India","Delhi","admin1","Incidence Rate","Cases per Thousand",2015,0.00164489918793215
"IND","India","Delhi","admin1","Incidence Rate","Cases per Thousand",2016,0.0275202911841163
"IND","India","Delhi","admin1","Incidence Rate","Cases per Thousand",2017,0.408081028557423
"IND","India","Delhi","admin1","Incidence Rate","Cases per Thousand",2018,0.7647387131439161
"IND","India","Delhi","admin1","Incidence Rate","Cases per Thousand",2019,0.319412817614175
"IND","India","Delhi","admin1","Incidence Rate","Cases per Thousand",2020,0.135014278625733
"IND","India","Delhi","admin1","Incidence Rate","Cases per Thousand",2021,0.0438918441719724
"IND","India","Delhi","admin1","Incidence Rate","Cases per Thousand",2022,0.0339154140553639
"IND","India","Delhi","admin1","Incidence Rate","Cases per Thousand",2023,0.038699847670462396
"IND","India","Delhi","admin1","Incidence Rate","Cases per Thousand",2024,0.0391327573455123
"IND","India","Delhi","admin1","Infection Prevalence","per 100 Children",2000,0.039614178600914395
"IND","India","Delhi","admin1","Infection Prevalence","per 100 Children",2001,0.0203632765229603
"IND","India","Delhi","admin1","Infection Prevalence","per 100 Children",2002,0.00978571095820009
"IND","India","Delhi","admin1","Infection Prevalence","per 100 Children",2003,0.011147875320778801
"IND","India","Delhi","admin1","Infection Prevalence","per 100 Children",2004,0.0180895420899653
"IND","India","Delhi","admin1","Infection Prevalence","per 100 Children",2005,0.0187793660442609
"IND","India","Delhi","admin1","Infection Prevalence","per 100 Children",2006,0.0101091473561584
"IND","India","Delhi","admin1","Infection Prevalence","per 100 Children",2007,0.0031595205719118996
"IND","India","Delhi","admin1","Infection Prevalence","per 100 Children",2008,0.00380858748806809
"IND","India","Delhi","admin1","Infection Prevalence","per 100 Children",2009,0.0033183347068162197
"IND","India","Delhi","admin1","Infection Prevalence","per 100 Children",2010,0.00194473659903417
"IND","India","Delhi","admin1","Infection Prevalence","per 100 Children",2011,0.00678629590369416
"IND","India","Delhi","admin1","Infection Prevalence","per 100 Children",2012,0.007321521888542349
"IND","India","Delhi","admin1","Infection Prevalence","per 100 Children",2013,0.00025655162249259603
"IND","India","Delhi","admin1","Infection Prevalence","per 100 Children",2014,0.000060362696675834795
"IND","India","Delhi","admin1","Infection Prevalence","per 100 Children",2015,0.0000629055990731247
"IND","India","Delhi","admin1","Infection Prevalence","per 100 Children",2016,0.00105818701155243
"IND","India","Delhi","admin1","Infection Prevalence","per 100 Children",2017,0.0159433941045699
"IND","India","Delhi","admin1","Infection Prevalence","per 100 Children",2018,0.0302471512803425
"IND","India","Delhi","admin1","Infection Prevalence","per 100 Children",2019,0.012553380572909698
"IND","India","Delhi","admin1","Infection Prevalence","per 100 Children",2020,0.00521712001969794
"IND","India","Delhi","admin1","Infection Prevalence","per 100 Children",2021,0.00168639990113412
"IND","India","Delhi","admin1","Infection Prevalence","per 100 Children",2022,0.0013020296093706899
"IND","India","Delhi","admin1","Infection Prevalence","per 100 Children",2023,0.00148656809794887
"IND","India","Delhi","admin1","Infection Prevalence","per 100 Children",2024,0.0015030763720467399
"IND","India","Delhi","admin1","Mortality Rate","Deaths per 100 Thousand",2000,1.2851280489699
"IND","India","Delhi","admin1","Mortality Rate","Deaths per 100 Thousand",2001,0.349770616372832
"IND","India","Delhi","admin1","Mortality Rate","Deaths per 100 Thousand",2002,0.128661327917731
"IND","India","Delhi","admin1","Mortality Rate","Deaths per 100 Thousand",2003,0.16862951494932601
"IND","India","Delhi","admin1","Mortality Rate","Deaths per 100 Thousand",2004,0.28989578769297597
"IND","India","Delhi","admin1","Mortality Rate","Deaths per 100 Thousand",2005,0.5053949721372389
"IND","India","Delhi","admin1","Mortality Rate","Deaths per 100 Thousand",2006,0.19341602976404698
"IND","India","Delhi","admin1","Mortality Rate","Deaths per 100 Thousand",2007,0.0483587355619641
"IND","India","Delhi","admin1","Mortality Rate","Deaths per 100 Thousand",2008,0.053087560586408296
"IND","India","Delhi","admin1","Mortality Rate","Deaths per 100 Thousand",2009,0.0592140318992641
"IND","India","Delhi","admin1","Mortality Rate","Deaths per 100 Thousand",2010,0.123843714477696
"IND","India","Delhi","admin1","Mortality Rate","Deaths per 100 Thousand",2011,0.170021126453686
"IND","India","Delhi","admin1","Mortality Rate","Deaths per 100 Thousand",2012,0.228810876559895
"IND","India","Delhi","admin1","Mortality Rate","Deaths per 100 Thousand",2013,0.00797969029244814
"IND","India","Delhi","admin1","Mortality Rate","Deaths per 100 Thousand",2014,0.0014413682034893499
"IND","India","Delhi","admin1","Mortality Rate","Deaths per 100 Thousand",2015,0.0021511517274141003
"IND","India","Delhi","admin1","Mortality Rate","Deaths per 100 Thousand",2016,0.0374971324141658
