"ISO3","National Unit","Name","Admin Level","Metric","Units","Year","Value"
"CHN","China","Heilongjiang","admin1","Incidence Rate","Cases per Thousand",2000,0
"CHN","China","Heilongjiang","admin1","Incidence Rate","Cases per Thousand",2001,0
"CHN","China","Heilongjiang","admin1","Incidence Rate","Cases per Thousand",2002,0
"CHN","China","Heilongjiang","admin1","Incidence Rate","Cases per Thousand",2003,0
"CHN","China","Heilongjiang","admin1","Incidence Rate","Cases per Thousand",2004,0
"CHN","China","Heilongjiang","admin1","Incidence Rate","Cases per Thousand",2005,0
"CHN","China","Heilongjiang","admin1","Incidence Rate","Cases per Thousand",2006,0
"CHN","China","Heilongjiang","admin1","Incidence Rate","Cases per Thousand",2007,0
"CHN","China","Heilongjiang","admin1","Incidence Rate","Cases per Thousand",2008,0
"CHN","China","Heilongjiang","admin1","Incidence Rate","Cases per Thousand",2009,0
"CHN","China","Heilongjiang","admin1","Incidence Rate","Cases per Thousand",2010,0
"CHN","China","Heilongjiang","admin1","Incidence Rate","Cases per Thousand",2011,0
"CHN","China","Heilongjiang","admin1","Incidence Rate","Cases per Thousand",2012,0
"CHN","China","Heilongjiang","admin1","Incidence Rate","Cases per Thousand",2013,0
"CHN","China","Heilongjiang","admin1","Incidence Rate","Cases per Thousand",2014,0
"CHN","China","Heilongjiang","admin1","Incidence Rate","Cases per Thousand",2015,0
"CHN","China","Heilongjiang","admin1","Incidence Rate","Cases per Thousand",2016,0
"CHN","China","Heilongjiang","admin1","Incidence Rate","Cases per Thousand",2017,0
"CHN","China","Heilongjiang","admin1","Incidence Rate","Cases per Thousand",2018,0
"CHN","China","Heilongjiang","admin1","Incidence Rate","Cases per Thousand",2019,0
"CHN","China","Heilongjiang","admin1","Incidence Rate","Cases per Thousand",2020,0
"CHN","China","Heilongjiang","admin1","Incidence Rate","Cases per Thousand",2021,0
"CHN","China","Heilongjiang","admin1","Incidence Rate","Cases per Thousand",2022,0
"CHN","China","Heilongjiang","admin1","Incidence Rate","Cases per Thousand",2023,0
"CHN","China","Heilongjiang","admin1","Incidence Rate","Cases per Thousand",2024,0
"CHN","China","Heilongjiang","admin1","Infection Prevalence","per 100 Children",2000,0
"CHN","China","Heilongjiang","admin1","Infection Prevalence","per 100 Children",2001,0
"CHN","China","Heilongjiang","admin1","Infection Prevalence","per 100 Children",2002,0
"CHN","China","Heilongjiang","admin1","Infection Prevalence","per 100 Children",2003,0
"CHN","China","Heilongjiang","admin1","Infection Prevalence","per 100 Children",2004,0
"CHN","China","Heilongjiang","admin1","Infection Prevalence","per 100 Children",2005,0
"CHN","China","Heilongjiang","admin1","Infection Prevalence","per 100 Children",2006,0
"CHN","China","Heilongjiang","admin1","Infection Prevalence","per 100 Children",2007,0
"CHN","China","Heilongjiang","admin1","Infection Prevalence","per 100 Children",2008,0
"CHN","China","Heilongjiang","admin1","Infection Prevalence","per 100 Children",2009,0
"CHN","China","Heilongjiang","admin1","Infection Prevalence","per 100 Children",2010,0
"CHN","China","Heilongjiang","admin1","Infection Prevalence","per 100 Children",2011,0
