"ISO3","National Unit","Name","Admin Level","Metric","Units","Year","Value"
"KEN","Kenya","Nairobi City","admin1","Incidence Rate","Cases per Thousand",2000,2.11971180020833
"KEN","Kenya","Nairobi City","admin1","Incidence Rate","Cases per Thousand",2001,2.46733704227514
"KEN","Kenya","Nairobi City","admin1","Incidence Rate","Cases per Thousand",2002,2.1811436657020398
"KEN","Kenya","Nairobi City","admin1","Incidence Rate","Cases per Thousand",2003,1.90994927993308
"KEN","Kenya","Nairobi City","admin1","Incidence Rate","Cases per Thousand",2004,1.4449031308759501
"KEN","Kenya","Nairobi City","admin1","Incidence Rate","Cases per Thousand",2005,1.02258145360512
"KEN","Kenya","Nairobi City","admin1","Incidence Rate","Cases per Thousand",2006,0.8281838000596551
"KEN","Kenya","Nairobi City","admin1","Incidence Rate","Cases per Thousand",2007,0.673481914493163
"KEN","Kenya","Nairobi City","admin1","Incidence Rate","Cases per Thousand",2008,0.5945909438621161
"KEN","Kenya","Nairobi City","admin1","Incidence Rate","Cases per Thousand",2009,0.607217285905733
"KEN","Kenya","Nairobi City","admin1","Incidence Rate","Cases per Thousand",2010,0.615723618950773
"KEN","Kenya","Nairobi City","admin1","Incidence Rate","Cases per Thousand",2011,0.647820736902422
"KEN","Kenya","Nairobi City","admin1","Incidence Rate","Cases per Thousand",2012,0.671245119422603
"KEN","Kenya","Nairobi City","admin1","Incidence Rate","Cases per Thousand",2013,0.709327248505666
"KEN","Kenya","Nairobi City","admin1","Incidence Rate","Cases per Thousand",2014,0.7092391020531741
"KEN","Kenya","Nairobi City","admin1","Incidence Rate","Cases per Thousand",2015,0.692257146846578
"KEN","Kenya","Nairobi City","admin1","Incidence Rate","Cases per Thousand",2016,0.647938087947682
"KEN","Kenya","Nairobi City","admin1","Incidence Rate","Cases per Thousand",2017,0.719697895291272
"KEN","Kenya","Nairobi City","admin1","Incidence Rate","Cases per Thousand",2018,0.7594136169473249
"KEN","Kenya","Nairobi City","admin1","Incidence Rate","Cases per Thousand",2019,0.799535251527432
"KEN","Kenya","Nairobi City","admin1","Incidence Rate","Cases per Thousand",2020,0.837557028171208
"KEN","Kenya","Nairobi City","admin1","Incidence Rate","Cases per Thousand",2021,0.81373279451345
"KEN","Kenya","Nairobi City","admin1","Incidence Rate","Cases per Thousand",2022,0.769710578515802
"KEN","Kenya","Nairobi City","admin1","Incidence Rate","Cases per Thousand",2023,0.7697228485807189
"KEN","Kenya","Nairobi City","admin1","Incidence Rate","Cases per Thousand",2024,0.758861556832038
"KEN","Kenya","Nairobi City","admin1","Infection Prevalence","per 100 Children",2000,0.151547150640237
"KEN","Kenya","Nairobi City","admin1","Infection Prevalence","per 100 Children",2001,0.189217783151226
"KEN","Kenya","Nairobi City","admin1","Infection Prevalence","per 100 Children",2002,0.15857533780775798
"KEN","Kenya","Nairobi City","admin1","Infection Prevalence","per 100 Children",2003,0.130145184632331
"KEN","Kenya","Nairobi City","admin1","Infection Prevalence","per 100 Children",2004,0.0895100409532683
"KEN","Kenya","Nairobi City","admin1","Infection Prevalence","per 100 Children",2005,0.0581790634808435
"KEN","Kenya","Nairobi City","admin1","Infection Prevalence","per 100 Children",2006,0.0449645647614076
"KEN","Kenya","Nairobi City","admin1","Infection Prevalence","per 100 Children",2007,0.0358081749993962
"KEN","Kenya","Nairobi City","admin1","Infection Prevalence","per 100 Children",2008,0.0313314658996398
"KEN","Kenya","Nairobi City","admin1","Infection Prevalence","per 100 Children",2009,0.0320945642001478
"KEN","Kenya","Nairobi City","admin1","Infection Prevalence","per 100 Children",2010,0.0327040701306783
"KEN","Kenya","Nairobi City","admin1","Infection Prevalence","per 100 Children",2011,0.034688375887572995
"KEN","Kenya","Nairobi City","admin1","Infection Prevalence","per 100 Children",2012,0.036426046746914104
"KEN","Kenya","Nairobi City","admin1","Infection Prevalence","per 100 Children",2013,0.0390548103346596
"KEN","Kenya","Nairobi City","admin1","Infection Prevalence","per 100 Children",2014,0.0387684529139333
"KEN","Kenya","Nairobi City","admin1","Infection Prevalence","per 100 Children",2015,0.0373949282955015
"KEN","Kenya","Nairobi City","admin1","Infection Prevalence","per 100 Children",2016,0.0353139879586548
"KEN","Kenya","Nairobi City","admin1","Infection Prevalence","per 100 Children",2017,0.0403131808605848
"KEN","Kenya","Nairobi City","admin1","Infection Prevalence","per 100 Children",2018,0.0428837533553248
"KEN","Kenya","Nairobi City","admin1","Infection Prevalence","per 100 Children",2019,0.045497383661946
"KEN","Kenya","Nairobi City","admin1","Infection Prevalence","per 100 Children",2020,0.0480632394862893
"KEN","Kenya","Nairobi City","admin1","Infection Prevalence","per 100 Children",2021,0.0475807321409408
"KEN","Kenya","Nairobi City","admin1","Infection Prevalence","per 100 Children",2022,0.0472753583220705
"KEN","Kenya","Nairobi City","admin1","Infection Prevalence","per 100 Children",2023,0.0479607973388567
"KEN","Kenya","Nairobi City","admin1","Infection Prevalence","per 100 Children",2024,0.047422025623553
"KEN","Kenya","Nairobi City","admin1","Mortality Rate","Deaths per 100 Thousand",2000,1.13648566156509
"KEN","Kenya","Nairobi City","admin1","Mortality Rate","Deaths per 100 Thousand",2001,1.28987024876081
"KEN","Kenya","Nairobi City","admin1","Mortality Rate","Deaths per 100 Thousand",2002,1.0861606881602701
"KEN","Kenya","Nairobi City","admin1","Mortality Rate","Deaths per 100 Thousand",2003,1.09708122424765
"KEN","Kenya","Nairobi City","admin1","Mortality Rate","Deaths per 100 Thousand",2004,0.9211262632444681
"KEN","Kenya","Nairobi City","admin1","Mortality Rate","Deaths per 100 Thousand",2005,0.744240872272628
"KEN","Kenya","Nairobi City","admin1","Mortality Rate","Deaths per 100 Thousand",2006,0.6005211370064061
"KEN","Kenya","Nairobi City","admin1","Mortality Rate","Deaths per 100 Thousand",2007,0.46228033764305804
