"ISO3","National Unit","Name","Admin Level","Metric","Units","Year","Value"
"NER","Niger","Zinder","admin1","Incidence Rate","Cases per Thousand",2000,250.680975603505
"NER","Niger","Zinder","admin1","Incidence Rate","Cases per Thousand",2001,247.927095077897
"NER","Niger","Zinder","admin1","Incidence Rate","Cases per Thousand",2002,255.6293602558
"NER","Niger","Zinder","admin1","Incidence Rate","Cases per Thousand",2003,267.715486296442
"NER","Niger","Zinder","admin1","Incidence Rate","Cases per Thousand",2004,284.347285189837
"NER","Niger","Zinder","admin1","Incidence Rate","Cases per Thousand",2005,303.663792657839
"NER","Niger","Zinder","admin1","Incidence Rate","Cases per Thousand",2006,302.64411157716097
"NER","Niger","Zinder","admin1","Incidence Rate","Cases per Thousand",2007,304.894068978467
"NER","Niger","Zinder","admin1","Incidence Rate","Cases per Thousand",2008,305.079133541847
"NER","Niger","Zinder","admin1","Incidence Rate","Cases per Thousand",2009,283.859344009733
"NER","Niger","Zinder","admin1","Incidence Rate","Cases per Thousand",2010,274.89314310873505
"NER","Niger","Zinder","admin1","Incidence Rate","Cases per Thousand",2011,270.513355839675
"NER","Niger","Zinder","admin1","Incidence Rate","Cases per Thousand",2012,278.35260998424
"NER","Niger","Zinder","admin1","Incidence Rate","Cases per Thousand",2013,285.649660961592
"NER","Niger","Zinder","admin1","Incidence Rate","Cases per Thousand",2014,277.631127478666
"NER","Niger","Zinder","admin1","Incidence Rate","Cases per Thousand",2015,250.92238882935098
"NER","Niger","Zinder","admin1","Incidence Rate","Cases per Thousand",2016,226.252331073926
"NER","Niger","Zinder","admin1","Incidence Rate","Cases per Thousand",2017,235.707379309139
"NER","Niger","Zinder","admin1","Incidence Rate","Cases per Thousand",2018,277.28986969153704
"NER","Niger","Zinder","admin1","Incidence Rate","Cases per Thousand",2019,324.02166496713096
"NER","Niger","Zinder","admin1","Incidence Rate","Cases per Thousand",2020,346.65420844642097
"NER","Niger","Zinder","admin1","Incidence Rate","Cases per Thousand",2021,332.797208075981
"NER","Niger","Zinder","admin1","Incidence Rate","Cases per Thousand",2022,310.399829819872
"NER","Niger","Zinder","admin1","Incidence Rate","Cases per Thousand",2023,265.70118871913
"NER","Niger","Zinder","admin1","Incidence Rate","Cases per Thousand",2024,265.111729192372
"NER","Niger","Zinder","admin1","Infection Prevalence","per 100 Children",2000,17.2424005430183
"NER","Niger","Zinder","admin1","Infection Prevalence","per 100 Children",2001,17.204816253201198
"NER","Niger","Zinder","admin1","Infection Prevalence","per 100 Children",2002,17.8973704976331
"NER","Niger","Zinder","admin1","Infection Prevalence","per 100 Children",2003,18.7893594554144
"NER","Niger","Zinder","admin1","Infection Prevalence","per 100 Children",2004,20.404351252262103
"NER","Niger","Zinder","admin1","Infection Prevalence","per 100 Children",2005,22.158085179054197
"NER","Niger","Zinder","admin1","Infection Prevalence","per 100 Children",2006,21.7710503150669
"NER","Niger","Zinder","admin1","Infection Prevalence","per 100 Children",2007,22.0165479436597
"NER","Niger","Zinder","admin1","Infection Prevalence","per 100 Children",2008,22.0341913138355
"NER","Niger","Zinder","admin1","Infection Prevalence","per 100 Children",2009,20.0269408929553
"NER","Niger","Zinder","admin1","Infection Prevalence","per 100 Children",2010,19.4067032631338
"NER","Niger","Zinder","admin1","Infection Prevalence","per 100 Children",2011,19.0127237857223
"NER","Niger","Zinder","admin1","Infection Prevalence","per 100 Children",2012,19.5894737588891
"NER","Niger","Zinder","admin1","Infection Prevalence","per 100 Children",2013,20.364511641493998
"NER","Niger","Zinder","admin1","Infection Prevalence","per 100 Children",2014,19.5446235688756
"NER","Niger","Zinder","admin1","Infection Prevalence","per 100 Children",2015,16.9155698539128
"NER","Niger","Zinder","admin1","Infection Prevalence","per 100 Children",2016,14.8153329202971
"NER","Niger","Zinder","admin1","Infection Prevalence","per 100 Children",2017,15.550982938413199
"NER","Niger","Zinder","admin1","Infection Prevalence","per 100 Children",2018,19.115355509312
"NER","Niger","Zinder","admin1","Infection Prevalence","per 100 Children",2019,23.5098383813386
"NER","Niger","Zinder","admin1","Infection Prevalence","per 100 Children",2020,25.5391630307925
"NER","Niger","Zinder","admin1","Infection Prevalence","per 100 Children",2021,24.018374198862897
"NER","Niger","Zinder","admin1","Infection Prevalence","per 100 Children",2022,22.0098433249578
"NER","Niger","Zinder","admin1","Infection Prevalence","per 100 Children",2023,18.2889382698255
"NER","Niger","Zinder","admin1","Infection Prevalence","per 100 Children",2024,18.2547327633601
"NER","Niger","Zinder","admin1","Mortality Rate","Deaths per 100 Thousand",2000,204.056061102861
"NER","Niger","Zinder","admin1","Mortality Rate","Deaths per 100 Thousand",2001,191.674846806678
"NER","Niger","Zinder","admin1","Mortality Rate","Deaths per 100 Thousand",2002,176.453612845118
"NER","Niger","Zinder","admin1","Mortality Rate","Deaths per 100 Thousand",2003,174.515962042332
"NER","Niger","Zinder","admin1","Mortality Rate","Deaths per 100 Thousand",2004,182.722758603811
"NER","Niger","Zinder","admin1","Mortality Rate","Deaths per 100 Thousand",2005,210.038405392454
"NER","Niger","Zinder","admin1","Mortality Rate","Deaths per 100 Thousand",2006,200.92752329113998
"NER","Niger","Zinder","admin1","Mortality Rate","Deaths per 100 Thousand",2007,196.03757489671798
"NER","Niger","Zinder","admin1","Mortality Rate","Deaths per 100 Thousand",2008,201.98755586991902
"NER","Niger","Zinder","admin1","Mortality Rate","Deaths per 100 Thousand",2009,201.09330469064201
"NER","Niger","Zinder","admin1","Mortality Rate","Deaths per 100 Thousand",2010,199.346804902988
"NER","Niger","Zinder","admin1","Mortality Rate","Deaths per 100 Thousand",2011,206.02042679510402
"NER","Niger","Zinder","admin1","Mortality Rate","Deaths per 100 Thousand",2012,205.01639406259602
"NER","Niger","Zinder","admin1","Mortality Rate","Deaths per 100 Thousand",2013,211.183973885809
"NER","Niger","Zinder","admin1","Mortality Rate","Deaths per 100 Thousand",2014,196.98848321152698
"NER","Niger","Zinder","admin1","Mortality Rate","Deaths per 100 Thousand",2015,180.771494768562
"NER","Niger","Zinder","admin1","Mortality Rate","Deaths per 100 Thousand",2016,168.89262745996
"NER","Niger","Zinder","admin1","Mortality Rate","Deaths per 100 Thousand",2017,120.00652181564
"NER","Niger","Zinder","admin1","Mortality Rate","Deaths per 100 Thousand",2018,113.11216400364599
"NER","Niger","Zinder","admin1","Mortality Rate","Deaths per 100 Thousand",2019,116.27816894361699
"NER","Niger","Zinder","admin1","Mortality Rate","Deaths per 100 Thousand",2020,129.98932833957502
"NER","Niger","Zinder","admin1","Mortality Rate","Deaths per 100 Thousand",2021,124.446624292579
"NER","Niger","Zinder","admin1","Mortality Rate","Deaths per 100 Thousand",2022,98.50429394395691
"NER","Niger","Zinder","admin1","Mortality Rate","Deaths per 100 Thousand",2023,101.37279816640799
"NER","Niger","Zinder","admin1","Mortality Rate","Deaths per 100 Thousand",2024,101.18060995746899
