Year,CHIRPS_Precipitation,Region
2000,1660.4599117040634,Mongala
2001,1804.5077089071274,Mongala
2002,1714.2569509148598,Mongala
2003,1676.6811518669128,Mongala
2004,1703.6822122335434,Mongala
2005,1715.6235694885254,Mongala
2006,1791.339390963316,Mongala
2007,1639.606841802597,Mongala
2008,1826.210361123085,Mongala
2009,1668.563808888197,Mongala
2010,1647.0772751569748,Mongala
2011,1663.8618108034134,Mongala
2012,1701.4552338123322,Mongala
2013,1774.8219836056232,Mongala
2014,1687.4346821308136,Mongala
2015,1620.770527124405,Mongala
2016,1710.0033602714539,Mongala
2017,1880.981858253479,Mongala
2018,1898.0899615883827,Mongala
2019,1803.289932114014,Mongala
2020,1710.2438327670097,Mongala
2021,1566.4340289831161,Mongala
2022,1730.5978139787912,Mongala
2023,1698.1092526316643,Mongala
2024,1557.917105436325,Mongala
2000,1716.092298746109,Nord-Ubangi
2001,1816.5639570355415,Nord-Ubangi
2002,1870.0607504844666,Nord-Ubangi
2003,1769.5480263233185,Nord-Ubangi
2004,1627.4982270598412,Nord-Ubangi
2005,1734.897129535675,Nord-Ubangi
2006,1741.0479083657265,Nord-Ubangi
2007,1641.2369675636292,Nord-Ubangi
2008,1607.2088506221771,Nord-Ubangi
2009,1607.8738903999329,Nord-Ubangi
2010,1780.7140277922153,Nord-Ubangi
2011,1474.5892806351185,Nord-Ubangi
2012,1715.540563762188,Nord-Ubangi
2013,1787.6751682162285,Nord-Ubangi
2014,1665.1455418169498,Nord-Ubangi
2015,1694.6010469198227,Nord-Ubangi
2016,1701.9450496435165,Nord-Ubangi
2017,1817.7841998636723,Nord-Ubangi
2018,1912.0752788484097,Nord-Ubangi
2019,1819.346241867799,Nord-Ubangi
2020,1620.0887047061697,Nord-Ubangi
2021,1805.8797572553158,Nord-Ubangi
2022,1484.6814395487309,Nord-Ubangi
2023,1946.8335462212563,Nord-Ubangi
2024,1533.5068195015192,Nord-Ubangi
2000,1687.8506615757942,Sud-Ubangi
2001,1826.5831061005592,Sud-Ubangi
2002,1570.154822230339,Sud-Ubangi
2003,1379.0734345912933,Sud-Ubangi
2004,1506.37243527174,Sud-Ubangi
2005,1620.0661091208458,Sud-Ubangi
2006,1686.6810141801834,Sud-Ubangi
2007,1799.7925915420055,Sud-Ubangi
2008,1703.7361595630646,Sud-Ubangi
2009,1743.9343472123146,Sud-Ubangi
2010,1765.9688077569008,Sud-Ubangi
2011,1822.6883199214935,Sud-Ubangi
2012,1759.103785187006,Sud-Ubangi
2013,1683.0594511330128,Sud-Ubangi
2014,1530.9404716789722,Sud-Ubangi
2015,1537.0868858098984,Sud-Ubangi
2016,1782.2370927333832,Sud-Ubangi
2017,1803.3290719091892,Sud-Ubangi
2018,1622.256194204267,Sud-Ubangi
2019,1781.99600148201,Sud-Ubangi
2020,1663.7761092558503,Sud-Ubangi
2021,1611.286791563034,Sud-Ubangi
2022,1571.3393473029137,Sud-Ubangi
2023,1870.8933858275414,Sud-Ubangi
2024,1336.831493194215,Sud-Ubangi
2000,2048.2803386449814,Tshuapa
2001,1883.7499431371689,Tshuapa
2002,1900.490861773491,Tshuapa
2003,1894.5805961489677,Tshuapa
2004,1875.5306787490845,Tshuapa
2005,1806.4565470218658,Tshuapa
2006,1990.438759446144,Tshuapa
2007,1943.5250309705734,Tshuapa
2008,1938.1225870847702,Tshuapa
2009,1979.1691702604294,Tshuapa
2010,1865.410708963871,Tshuapa
2011,1798.1626390814781,Tshuapa
2012,1846.7434212565422,Tshuapa
2013,1947.0081593990326,Tshuapa
2014,1872.0203846096992,Tshuapa
2015,1712.5709083080292,Tshuapa
2016,1889.3419307470322,Tshuapa
2017,1980.7076731324196,Tshuapa
2018,2121.6615745425224,Tshuapa
2019,1927.9489411041363,Tshuapa
2020,1839.1645830534399,Tshuapa
2021,1927.7590444684029,Tshuapa
2022,1904.4534133672714,Tshuapa
2023,1817.74852091074,Tshuapa
2024,1603.4425497371703,Tshuapa
2000,1732.445957183838,Kwango
2001,1480.7109540700912,Kwango
2002,1661.2299151420593,Kwango
2003,1581.6504884958267,Kwango
2004,1646.1990302801132,Kwango
2005,1663.8438873291016,Kwango
2006,1552.0791319012642,Kwango
2007,1678.0802395790815,Kwango
2008,1557.1701881289482,Kwango
2009,1616.4516006112099,Kwango
2010,1532.544892668724,Kwango
2011,1576.3584575653076,Kwango
2012,1562.0662628412247,Kwango
2013,1700.1461577415466,Kwango
2014,1575.7912410497665,Kwango
2015,1529.3017289042473,Kwango
2016,1588.4820355176926,Kwango
2017,1711.909595489502,Kwango
2018,1660.983247473836,Kwango
2019,1711.101747751236,Kwango
2020,1653.1992565522396,Kwango
2021,1664.3792256116867,Kwango
2022,1553.1918060481548,Kwango
2023,1691.6203673183918,Kwango
2024,1386.5862069619889,Kwango
2000,1505.2821135520935,Kwilu
2001,1523.583196401596,Kwilu
