Year,CHIRPS_Precipitation,Region
2000,1617.53693151474,Mongala
2001,1766.9037399291992,Mongala
2002,1637.3495743274689,Mongala
2003,1666.5208839178085,Mongala
2004,1691.879313468933,Mongala
2005,1696.460985302925,Mongala
2006,1808.5205295085907,Mongala
2007,1621.8664177656174,Mongala
2008,1746.4877254962921,Mongala
2009,1643.7967324256897,Mongala
2010,1636.7467098236084,Mongala
2011,1635.2907807826996,Mongala
2012,1692.0542933940887,Mongala
2013,1757.7622522115707,Mongala
2014,1659.8736885786057,Mongala
2015,1624.6388016939163,Mongala
2016,1673.1957069635391,Mongala
2017,1858.001809835434,Mongala
2018,1906.082081573084,Mongala
2019,1771.314022654391,Mongala
2020,1713.2239033579826,Mongala
2021,1547.7391006946564,Mongala
2022,1720.2593839764595,Mongala
2023,1690.6334363222122,Mongala
2024,1501.6517218872905,Mongala
2000,1702.4721903800964,Nord-Ubangi
2001,1697.0140316486359,Nord-Ubangi
2002,1885.4378101825714,Nord-Ubangi
2003,1743.8176925182343,Nord-Ubangi
2004,1638.0755791664124,Nord-Ubangi
2005,1708.4400967359543,Nord-Ubangi
2006,1687.7270897626877,Nord-Ubangi
2007,1551.4435807466507,Nord-Ubangi
2008,1599.9105137586594,Nord-Ubangi
2009,1679.8284873962402,Nord-Ubangi
2010,1696.573245882988,Nord-Ubangi
2011,1385.1046772003174,Nord-Ubangi
2012,1711.427435517311,Nord-Ubangi
2013,1714.649705529213,Nord-Ubangi
2014,1611.4878437519073,Nord-Ubangi
2015,1690.0928983688354,Nord-Ubangi
2016,1666.50109064579,Nord-Ubangi
2017,1795.6303997039795,Nord-Ubangi
2018,1919.2812676727772,Nord-Ubangi
2019,1815.7884099608846,Nord-Ubangi
2020,1666.3121573626995,Nord-Ubangi
2021,1688.9619303941727,Nord-Ubangi
2022,1562.3537533283234,Nord-Ubangi
2023,1853.5792074203491,Nord-Ubangi
2024,1542.8263485506177,Nord-Ubangi
2000,1663.3907406330109,Sud-Ubangi
2001,1853.1983892917633,Sud-Ubangi
2002,1556.2301557064056,Sud-Ubangi
2003,1392.0166935920715,Sud-Ubangi
2004,1510.4325820207596,Sud-Ubangi
2005,1555.4180406332016,Sud-Ubangi
2006,1640.9927337169647,Sud-Ubangi
2007,1684.955825805664,Sud-Ubangi
2008,1553.916618347168,Sud-Ubangi
2009,1689.7992837429047,Sud-Ubangi
