Year,CHIRPS_Precipitation,Region
2000,1413.4783034324646,Kaskazini Unguja
2001,1302.5011343955994,Kaskazini Unguja
2002,1952.6619033813477,Kaskazini Unguja
2003,912.7024230957031,Kaskazini Unguja
2004,1580.071123600006,Kaskazini Unguja
2005,1494.6185668706894,Kaskazini Unguja
2006,2019.2366518974304,Kaskazini Unguja
2007,1701.8153965473175,Kaskazini Unguja
2008,1556.859354019165,Kaskazini Unguja
2009,1297.5014448165894,Kaskazini Unguja
2010,1511.5929362773895,Kaskazini Unguja
2011,1556.1996166706085,Kaskazini Unguja
2012,1359.1484451293945,Kaskazini Unguja
2013,1465.834394454956,Kaskazini Unguja
2014,2207.418532371521,Kaskazini Unguja
2015,2253.016740322113,Kaskazini Unguja
2016,1976.673261642456,Kaskazini Unguja
2017,3695.779265165329,Kaskazini Unguja
2018,3172.068687736988,Kaskazini Unguja
2019,3527.582205891609,Kaskazini Unguja
2020,3160.087367935106,Kaskazini Unguja
2021,1750.8321776390076,Kaskazini Unguja
2022,1794.389921426773,Kaskazini Unguja
2023,2723.9940032958984,Kaskazini Unguja
2024,2258.051268680967,Kaskazini Unguja
2000,2964.059485435486,Perak
2001,2600.823220729828,Perak
2002,2353.47803401947,Perak
2003,2981.599599838257,Perak
2004,2680.0679819583893,Perak
2005,2618.772783756256,Perak
2006,2841.385202527046,Perak
2007,2497.538248062134,Perak
2008,2947.9723415374756,Perak
2009,2997.219817638397,Perak
2010,2563.0625191926956,Perak
2011,3243.4565036296844,Perak
2012,3070.5523495674133,Perak
2013,2842.451033115387,Perak
2014,2615.613827228546,Perak
2015,2622.0586125850677,Perak
2016,2359.5770308971405,Perak
2017,3083.7136809825897,Perak
2018,3043.0476197600365,Perak
2019,2315.503033041954,Perak
2020,2836.840477705002,Perak
2021,2832.349960565567,Perak
2022,2861.7912595272064,Perak
2023,2720.9177215099335,Perak
2024,2380.302889585495,Perak
2000,4205.598643422127,Sarawak
2001,3974.463978230953,Sarawak
2002,4105.917498290539,Sarawak
2003,4408.400410652161,Sarawak
2004,3985.079666852951,Sarawak
2005,3340.949364423752,Sarawak
2006,3748.4495773017406,Sarawak
2007,4383.857087254524,Sarawak
2008,4959.884809613228,Sarawak
2009,4668.78890144825,Sarawak
2010,4292.032075166702,Sarawak
2011,4003.4262895584106,Sarawak
2012,4194.04172796011,Sarawak
2013,4216.855502963066,Sarawak
2014,3839.256015062332,Sarawak
2015,4050.438795566559,Sarawak
2016,4089.096051156521,Sarawak
2017,4767.948844909668,Sarawak
2018,4407.160681426525,Sarawak
2019,3591.911306142807,Sarawak
2020,4399.6907465020195,Sarawak
2021,4252.309078276157,Sarawak
2022,4475.3315625190735,Sarawak
2023,3711.968854188919,Sarawak
2024,4174.621884728316,Sarawak
2000,1194.9962365627289,Mwaro
2001,1257.113403081894,Mwaro
2002,1263.982614517212,Mwaro
2003,1151.2131824493408,Mwaro
2004,1228.3609447479248,Mwaro
2005,1044.7765011787415,Mwaro
2006,1344.8238450288773,Mwaro
2007,1298.210785627365,Mwaro
2008,1146.1522496938705,Mwaro
2009,1156.4087776988745,Mwaro
2010,1279.47039437294,Mwaro
2011,1352.5589842796326,Mwaro
2012,1326.8211874961853,Mwaro
2013,1586.6906362771988,Mwaro
2014,1298.4450514316559,Mwaro
2015,1627.376002073288,Mwaro
2016,1503.0731549263,Mwaro
2017,1334.8906511068344,Mwaro
2018,1766.6566808086936,Mwaro
2019,1530.86991733592,Mwaro
2020,1699.8590073104133,Mwaro
2021,1331.6588077545166,Mwaro
2022,1367.1983410939574,Mwaro
2023,1706.5555791854858,Mwaro
2024,1500.838660325142,Mwaro
2000,2330.159024953842,Grand Kru
2001,2612.9186522960663,Grand Kru
2002,2308.2148035764694,Grand Kru
2003,3210.844348192215,Grand Kru
2004,2917.6209692955017,Grand Kru
2005,2663.208909511566,Grand Kru
2006,2821.7084772586823,Grand Kru
2007,2716.9218550920486,Grand Kru
2008,3031.315436601639,Grand Kru
2009,1960.9951964616776,Grand Kru
2010,3362.3451664447784,Grand Kru
2011,2618.642730474472,Grand Kru
2012,2526.1042753458023,Grand Kru
2013,2534.421283006668,Grand Kru
2014,3021.2609099149704,Grand Kru
2015,1978.455825805664,Grand Kru
2016,2799.3170496225357,Grand Kru
2017,2844.1906346082687,Grand Kru
2018,2963.0072262585163,Grand Kru
2019,2578.886591374874,Grand Kru
2020,2842.943845840171,Grand Kru
2021,3112.8491872549057,Grand Kru
2022,2847.058099746704,Grand Kru
2023,2698.37698161602,Grand Kru
2024,2346.2167652994394,Grand Kru
2000,1118.3171478509903,Cascades
2001,954.5716495513916,Cascades
2002,985.558630913496,Cascades
2003,1176.033400297165,Cascades
2004,934.5361615866423,Cascades
2005,876.297524869442,Cascades
2006,1114.1338715553284,Cascades
2007,982.9377053976059,Cascades
2008,1143.0217381417751,Cascades
2009,941.5236384943128,Cascades
2010,1128.409539937973,Cascades
2011,988.0587537288666,Cascades
2012,1003.2824276685715,Cascades
2013,1022.9922062605619,Cascades
2014,1176.635522723198,Cascades
2015,1102.1591606140137,Cascades
2016,1119.8213273137808,Cascades
2017,825.6661912202835,Cascades
2018,1303.806183025241,Cascades
2019,1213.4283445626497,Cascades
2020,1074.0036672220767,Cascades
2021,1196.1326620578766,Cascades
2022,1147.2948641628027,Cascades
