Year,ITN_Coverage,ISO3
2000,0.0,TZA
2001,2.96696398,TZA
2002,5.93392796,TZA
2003,8.900891940000001,TZA
2004,11.86785592,TZA
2005,14.8348199,TZA
2006,17.801783880000002,TZA
2007,20.76874786,TZA
2008,23.73571184,TZA
2009,26.70267582,TZA
2010,29.6696398,TZA
2011,32.63660378,TZA
2012,35.603567760000004,TZA
2013,38.57053174,TZA
2014,41.53749572,TZA
2015,44.5044597,TZA
2016,65.2778703,TZA
2017,66.3277375,TZA
2018,59.8767049,TZA
2019,55.3089074,TZA
2020,63.9309914,TZA
2021,64.1230336,TZA
2022,58.7192848,TZA
2023,63.7767681,TZA
2024,65.9742048,TZA
2000,0.0,MYS
2001,0.0,MYS
2002,0.0,MYS
2003,0.0,MYS
2004,0.0,MYS
2005,0.0,MYS
2006,0.0,MYS
2007,0.0,MYS
2008,0.0,MYS
2009,0.0,MYS
2010,0.0,MYS
2011,0.0,MYS
2012,0.0,MYS
2013,0.0,MYS
2014,0.0,MYS
2015,0.0,MYS
2016,0.0,MYS
2017,0.0,MYS
2018,0.0,MYS
2019,0.0,MYS
2020,0.0,MYS
2021,0.0,MYS
2022,0.0,MYS
2023,0.0,MYS
2024,0.0,MYS
2000,0.0,BDI
2001,4.261429513333334,BDI
2002,8.522859026666668,BDI
2003,12.784288540000002,BDI
2004,17.045718053333335,BDI
2005,21.307147566666668,BDI
2006,25.568577080000004,BDI
2007,29.830006593333337,BDI
2008,34.09143610666667,BDI
2009,38.35286562,BDI
2010,42.614295133333336,BDI
2011,46.87572464666667,BDI
2012,51.13715416000001,BDI
2013,55.39858367333334,BDI
2014,59.660013186666674,BDI
2015,63.9214427,BDI
2016,37.9089046,BDI
2017,59.9687955,BDI
2018,71.4383027,BDI
2019,76.8106758,BDI
2020,70.0442916,BDI
2021,44.7978852,BDI
2022,65.1934948,BDI
2023,66.7656054,BDI
2024,39.5970732,BDI
2000,0.0,LBR
2001,4.141762253333334,LBR
2002,8.283524506666668,LBR
2003,12.425286760000002,LBR
2004,16.567049013333335,LBR
2005,20.708811266666668,LBR
2006,24.850573520000005,LBR
2007,28.992335773333338,LBR
2008,33.13409802666667,LBR
2009,37.27586028,LBR
2010,41.417622533333336,LBR
2011,45.55938478666667,LBR
2012,49.70114704000001,LBR
2013,53.84290929333334,LBR
2014,57.984671546666675,LBR
2015,62.1264338,LBR
2016,61.6485652,LBR
2017,24.3439472,LBR
2018,48.9204368,LBR
2019,61.0580619,LBR
2020,22.3779912,LBR
2021,52.8673421,LBR
2022,62.5137759,LBR
2023,61.252657,LBR
2024,75.0286218,LBR
2000,0.0,BFA
2001,3.433440566666667,BFA
2002,6.866881133333334,BFA
2003,10.300321700000001,BFA
2004,13.733762266666668,BFA
2005,17.167202833333334,BFA
2006,20.600643400000003,BFA
2007,24.034083966666667,BFA
2008,27.467524533333336,BFA
2009,30.900965100000004,BFA
2010,34.33440566666667,BFA
2011,37.76784623333334,BFA
2012,41.201286800000005,BFA
2013,44.634727366666674,BFA
2014,48.068167933333335,BFA
2015,51.5016085,BFA
2016,71.9961556,BFA
2017,69.1730218,BFA
2018,49.3007728,BFA
2019,37.857235,BFA
2020,36.5192763,BFA
2021,53.2662892,BFA
2022,84.4403608,BFA
2023,83.6825022,BFA
2024,61.3797808,BFA
2000,0.0,SYR
2001,0.0,SYR
2002,0.0,SYR
2003,0.0,SYR
2004,0.0,SYR
2005,0.0,SYR
2006,0.0,SYR
2007,0.0,SYR
2008,0.0,SYR
2009,0.0,SYR
2010,0.0,SYR
2011,0.0,SYR
2012,0.0,SYR
2013,0.0,SYR
2014,0.0,SYR
2015,0.0,SYR
2016,0.0,SYR
2017,0.0,SYR
2018,0.0,SYR
2019,0.0,SYR
2020,0.0,SYR
2021,0.0,SYR
2022,0.0,SYR
2023,0.0,SYR
2024,0.0,SYR
2000,0.0,GHA
2001,4.662293766666666,GHA
2002,9.324587533333332,GHA
2003,13.986881299999999,GHA
2004,18.649175066666665,GHA
2005,23.31146883333333,GHA
2006,27.973762599999997,GHA
2007,32.636056366666665,GHA
2008,37.29835013333333,GHA
2009,41.960643899999994,GHA
2010,46.62293766666666,GHA
2011,51.28523143333333,GHA
2012,55.947525199999994,GHA
2013,60.60981896666666,GHA
2014,65.27211273333333,GHA
2015,69.9344065,GHA
